Integrated Autocorrelation time
7.71483 2.56014 10.99120
rho_gamma rho_delta rho_lambda
1.00000 1.00000 1.00000
0.56027 0.14543 0.84345
0.46589 0.12179 0.71344
0.37969 0.11857 0.60536
0.31297 0.08858 0.50961
0.25842 0.07954 0.43260
0.21161 0.07086 0.36514
0.17221 0.05076 0.30929
0.15267 0.04972 0.25995
0.12067 0.02923 0.22027
0.10728 0.02560 0.18485
0.09627 0.03192 0.15209
0.08334 0.01890 0.12840
0.05907 0.00002 0.10485
0.05831 0.01515 0.08845
0.05115 0.00583 0.07287
0.04596 0.01441 0.05602
0.03761 0.00903 0.03896
0.03262 0.01865 0.02663
0.02592 0.01861 0.02202
0.02089 0.01243 0.01547
0.01905 0.00000 0.01113
0.01582 0.00000 0.00525
0.01237 0.00000 0.00385
0.01927 0.00000 0.00499
0.01825 0.00000 0.00327
0.01981 0.00000 0.00007
0.02177 0.00000 -0.00754
0.01708 0.00000 -0.01904
0.01098 0.00000 -0.02411
0.00788 0.00000 -0.02561
0.01373 0.00000 -0.02402
0.01690 0.00000 -0.01978
0.01920 0.00000 -0.01981
0.00422 0.00000 -0.02114
0.00061 0.00000 -0.02164
-0.00558 0.00000 -0.02362
-0.00825 0.00000 -0.02207
-0.01401 0.00000 -0.02211
-0.01931 0.00000 -0.01960
-0.02320 0.00000 -0.01505
-0.02296 0.00000 -0.01275
-0.02225 0.00000 -0.01167
-0.01756 0.00000 -0.01335
-0.01945 0.00000 -0.01630
-0.01880 0.00000 -0.01992
-0.01606 0.00000 -0.02153
-0.01982 0.00000 -0.02084
-0.01763 0.00000 -0.01732
-0.01285 0.00000 -0.01475
-0.00183 0.00000 -0.00944
0.00050 0.00000 -0.00598
0.00496 0.00000 -0.00318
0.00000 0.00000 -0.00311
0.00000 0.00000 -0.00005
0.00000 0.00000 0.00543
0.00000 0.00000 0.01468
0.00000 0.00000 0.02091
0.00000 0.00000 0.02715
0.00000 0.00000 0.02950
0.00000 0.00000 0.02655
0.00000 0.00000 0.02592
0.00000 0.00000 0.02903
0.00000 0.00000 0.02968
0.00000 0.00000 0.02573
0.00000 0.00000 0.02153
0.00000 0.00000 0.02502
0.00000 0.00000 0.03009
0.00000 0.00000 0.03284
0.00000 0.00000 0.03733
0.00000 0.00000 0.03809
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
