# gammas 	 deltas 	 lambdas 
#  Acceptance Ratio: 0.0003
#  Elapsed Time: 0.568690299987793
56444.984735060294042 	 203081021177.993682861328125 	 3597857.668510480318218
57835.098885641978995 	 208082454034.768920898437500 	 3597857.668510480318218
82735.566478476117481 	 183864906138.328643798828125 	 2222320.024679610971361
75345.012833299202612 	 167440730779.183074951171875 	 2222320.024679610971361
96506.869499106513103 	 214469148607.006378173828125 	 2222320.024679610971361
84550.519356172197149 	 186409339285.266113281250000 	 2204709.571327526122332
92623.002168674647692 	 221575331462.632934570312500 	 2392227.916118770837784
68377.878023123324965 	 153431325384.798126220703125 	 2243873.747192217502743
73105.040221957227914 	 189029953991.846801757812500 	 2585730.798012355342507
65089.134484812238952 	 168302979653.347076416015625 	 2585730.798012355342507
68381.288332322801580 	 176815603248.649993896484375 	 2585730.798012355342507
111075.316598729172256 	 203014513369.578460693359375 	 1827719.421255299588665
110677.132840685182600 	 153850975813.796844482421875 	 1390088.194959463551641
83146.731093938404229 	 115581289343.152740478515625 	 1390088.194959463551641
108702.934832297833054 	 151106666467.825103759765625 	 1390088.194959463551641
114594.648504177574068 	 218283684474.978912353515625 	 1904833.142945774830878
94965.544017901484040 	 180893515683.174621582031250 	 1904833.142945774830878
100160.368569796366501 	 190788789661.412414550781250 	 1904833.142945774830878
85587.245123023691121 	 163029421123.759643554687500 	 1904833.142945774830878
99060.110043689754093 	 205194744773.093902587890625 	 2071416.483209984609857
129719.325987394797266 	 268702750041.178894042968750 	 2071416.483209984609857
107242.814596831027302 	 222144533861.708129882812500 	 2071416.483209984609857
98622.493271276776795 	 204288258177.388519287109375 	 2071416.483209984609857
86264.941908590408275 	 157746554196.502716064453125 	 1828628.765132154338062
92582.073217982717324 	 193612232100.903656005859375 	 2091249.691990017890930
83813.093461091411882 	 185730589861.145263671875000 	 2216009.243798727635294
74846.348274058458628 	 165860199639.892486572265625 	 2216009.243798727635294
88489.375638487283140 	 196093274392.865753173828125 	 2216009.243798727635294
